"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"946718301568274437","https://twitter.com/NGOnewsTW/status/946718301568274437","[環資訊息]【水中奧秘】一窺軟絲奧秘：用體色來「說話」的頭足類    https://t.co/2BthBIEIca","2017-12-29 12:23 +0000","112.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946707641614655488","https://twitter.com/NGOnewsTW/status/946707641614655488","[公民行動資料庫]政大學生抗議清潔工遭不續聘 擋包商離開卻被告妨害自由 https://t.co/jdDfux8Zj3","2017-12-29 11:41 +0000","112.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946705663769632768","https://twitter.com/NGOnewsTW/status/946705663769632768","[環資訊息]【小農食宴室】濕地鮮味上桌 給你滿滿的大牡蠣 https://t.co/est5nkzfYT","2017-12-29 11:33 +0000","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946705660732993537","https://twitter.com/NGOnewsTW/status/946705660732993537","[環資訊息]人獸衝突何解？台北經驗：讓更多人理解衝突緣由 https://t.co/3OrHEVvrfQ","2017-12-29 11:33 +0000","127.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946700656563322880","https://twitter.com/NGOnewsTW/status/946700656563322880","[環資訊息]【歐洲生態影展巡禮】敬畏之心——義大利松德里歐國家公園影展（下） https://t.co/HjvPnkDEdR","2017-12-29 11:13 +0000","73.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946698181206822912","https://twitter.com/NGOnewsTW/status/946698181206822912","[環資訊息]【歐洲生態影展巡禮】敬畏之心——義大利松德里歐國家公園影展（中） https://t.co/iVpRT1kQCx","2017-12-29 11:03 +0000","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946691799380316160","https://twitter.com/NGOnewsTW/status/946691799380316160","[環資訊息]工程擾動地貌單一化  潮間帶僅大眼蟹獨占鰲頭 https://t.co/7PQI7ue8GG","2017-12-29 10:38 +0000","160.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946690600056827904","https://twitter.com/NGOnewsTW/status/946690600056827904","[媒觀訊息]網路新聞查核案件編號0005 https://t.co/0XY4C70NTS","2017-12-29 10:33 +0000","81.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946689041055010821","https://twitter.com/NGOnewsTW/status/946689041055010821","[伊甸]伊甸基金會 just uploaded a video https://t.co/WFtAnktotJ","2017-12-29 10:27 +0000","88.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946688814008979456","https://twitter.com/NGOnewsTW/status/946688814008979456","伊甸基金會 just uploaded a video https://t.co/WFtAnktotJ","2017-12-29 10:26 +0000","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946683033859616768","https://twitter.com/NGOnewsTW/status/946683033859616768","[環資訊息]台新螃蟹研究合作25年  發表台灣螃蟹名錄800種 https://t.co/EiseZ33ARE","2017-12-29 10:03 +0000","85.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946672433976741888","https://twitter.com/NGOnewsTW/status/946672433976741888","[公民行動資料庫]新竹「公道三」開路拆民房、倉促聽證? 居民要求給時間釐清爭點 https://t.co/SDIVNcWUB7","2017-12-29 09:21 +0000","154.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946656569151905792","https://twitter.com/NGOnewsTW/status/946656569151905792","[環資訊息]【環你這一年】2017重大環境議題回顧 https://t.co/FxdV2uNmLP","2017-12-29 08:18 +0000","41.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946635172715393024","https://twitter.com/NGOnewsTW/status/946635172715393024","[媒觀訊息]台劇復興─多元平台下的原創爆發 https://t.co/iGH4VGco5M","2017-12-29 06:53 +0000","134.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946633953271836672","https://twitter.com/NGOnewsTW/status/946633953271836672","[人本訊息]20171229人本教育基金會新聞稿            【終止體制暴力 國家有責──熱熔膠打臉，是體罰，是公然污辱，也是兒虐行為】 https://t.co/0icTzzDnVc","2017-12-29 06:48 +0000","154.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946612306410123264","https://twitter.com/NGOnewsTW/status/946612306410123264","法扶報報電子報-2017/12/29 https://t.co/x7iuStLwlC","2017-12-29 05:22 +0000","78.0","2.0","0.02564102564102564","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946604544452104193","https://twitter.com/NGOnewsTW/status/946604544452104193","[親子共學訊息]【沒有局外人】聊聊「沒有人是局外人」座談延伸 https://t.co/AepBLWksLH","2017-12-29 04:51 +0000","76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946587381104340992","https://twitter.com/NGOnewsTW/status/946587381104340992","[環資訊息]【水中奧秘】多元世界超乎想像 從性別轉換一窺生物奧秘 https://t.co/57iEicvtI7","2017-12-29 03:43 +0000","31.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946584879109693443","https://twitter.com/NGOnewsTW/status/946584879109693443","[環資訊息]【2017回顧】七句狂人語錄 大人物們講幹話 https://t.co/YDfuEChUlG","2017-12-29 03:33 +0000","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946578625662504960","https://twitter.com/NGOnewsTW/status/946578625662504960","[環資訊息]全球最大綜合礦業必和必拓承認氣候變遷  退出煤炭同業組織 https://t.co/YNHtihtH8k","2017-12-29 03:08 +0000","132.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946578623259136001","https://twitter.com/NGOnewsTW/status/946578623259136001","[環資訊息]【2017回顧】七件想和你分享的環保日常 https://t.co/ZlSBGotWco","2017-12-29 03:08 +0000","84.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946569751312117760","https://twitter.com/NGOnewsTW/status/946569751312117760","[環資訊息]【歐洲生態影展巡禮】敬畏之心——義大利松德里歐國家公園影展（上） https://t.co/wPn4p4DYEu","2017-12-29 02:33 +0000","69.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946495290009444358","https://twitter.com/NGOnewsTW/status/946495290009444358","[伊甸]伊甸園370下期│晚年照顧 幸福終老 https://t.co/BIUJBBg30v","2017-12-28 21:37 +0000","377.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946372990282948616","https://twitter.com/NGOnewsTW/status/946372990282948616","[公民行動資料庫]【新聞稿】杜絕建商浮濫圈地，落實都更公共利益 https://t.co/mokoHnS9WC","2017-12-28 13:31 +0000","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946370553811755008","https://twitter.com/NGOnewsTW/status/946370553811755008","[公民行動資料庫]【新聞稿】南市府一標再標、意象保存毀糖鐵 https://t.co/j9NwYEeKk9","2017-12-28 13:21 +0000","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946370551534190592","https://twitter.com/NGOnewsTW/status/946370551534190592","[公民行動資料庫]【新聞稿】媒觀講堂：絢爛之後，我們來談植劇場 https://t.co/b1rnMv1rpI","2017-12-28 13:21 +0000","39.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946370269932744705","https://twitter.com/NGOnewsTW/status/946370269932744705","[蠻野心足訊息][發言稿] 本會蔡雅瀅律師參加「2017立法院年度漢字暨十大新聞票選結果」記者會發言稿 https://t.co/vXUU5rdwV8","2017-12-28 13:20 +0000","66.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946368012348669952","https://twitter.com/NGOnewsTW/status/946368012348669952","[公民行動資料庫]【新聞稿】我要真聽證，不要假公平 https://t.co/dZq5vhLZ78","2017-12-28 13:11 +0000","51.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946363134377328640","https://twitter.com/NGOnewsTW/status/946363134377328640","【台少盟快報12月號】世界人權七十年，從十八歲投票權開始還我世代正義 https://t.co/ImJF5vdJQ2","2017-12-28 12:52 +0000","153.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946360406641135618","https://twitter.com/NGOnewsTW/status/946360406641135618","[公民行動資料庫]【新聞稿】勞工萬人抗爭強勢驅離，工商密室餐會頻頻出席 https://t.co/F1ddlVXAEB","2017-12-28 12:41 +0000","113.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946360404304855040","https://twitter.com/NGOnewsTW/status/946360404304855040","[公民行動資料庫]【聲明】爭取高鐵到屏東聯盟：要求交通「平權」 促進地方發展 https://t.co/tKmvWe0n6F","2017-12-28 12:41 +0000","79.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"946352835335196673","https://twitter.com/NGOnewsTW/status/946352835335196673","[公民行動資料庫]賴清德出席工商團體餐敘　工鬥突襲抗議《勞基法》修惡 https://t.co/UtGfIErT6c","2017-12-28 12:11 +0000","114.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
